_step,_timestamp,val-aux/alfworld/reward/std@2,val-aux/alfworld/reward/best@16/mean,training/epoch,response_length/mean,actor/kl_loss,prompt_length/min,timing_s/dump_rollout_generations,critic/rewards_teacher/min,diag/group_teacher_minus_on_reward_mean,val-aux/alfworld/reward/mean@1,timing_per_token_ms/gen,val-aux/alfworld/reward/worst@8/mean,global_seqlen/min,val-aux/alfworld/reward/best@16/std,actor/off_pg_loss,perf/throughput,response_length/max,val-core/alfworld/reward/best@94/std,val-aux/alfworld/reward/best@3/std,diag/exp_token_ratio,critic/rewards_sum/max,val-aux/alfworld/reward/worst@3/std,critic/rewards/max,exp_mask_ratio,val-aux/alfworld/reward/best@64/std,diag/entropy_onpolicy_token_std,val-aux/alfworld/reward/worst@94/mean,diag/teacher_adv_pos_ratio,diag/reward_teacher_mean,actor/on_pg_clipfrac_lower,val-core/alfworld/reward/mean@94,actor/on_pg_loss,response_length/clip_ratio,global_seqlen/balanced_max,prompt_length/mean,critic/rewards_teacher/mean,critic/advantages/min,val-aux/alfworld/reward/best@8/mean,critic/rewards_sum/mean,actor/grad_norm,val-aux/alfworld/reward/worst@2/mean,critic/returns/max,global_seqlen/max,actor/entropy_loss,val-aux/alfworld/reward/best@3/mean,diag/reward_onpolicy_mean,val-aux/alfworld/reward/worst@8/std,val-aux/alfworld/reward/best@32/std,diag/group_gap_count,diag/adv_onpolicy_sample_mean,luffy/tasks_with_partial_teacher,diag/adv_teacher_token_mean,actor/on_pg_clipfrac,luffy/total_onpolicy_kept,timing_s/adv,critic/returns/min,perf/mfu/actor,diag/group_teacher_minus_on_reward_std,diag/entropy_offpolicy_token_mean,actor/pg_loss,val-aux/alfworld/reward/worst@2/std,global_seqlen/mean,val-core/alfworld/reward/best@94/mean,val-aux/alfworld/reward/best@2/std,prompt_length/max,training/global_step,critic/advantages/mean,critic/score/max,diag/entropy_teacher_token_mean,timing_per_token_ms/update_actor,critic/rewards_last/mean,val-aux/alfworld/reward/best@32/mean,prompt_length/clip_ratio,perf/cpu_memory_used_gb,val-aux/alfworld/reward/worst@4/std,global_seqlen/minmax_diff,diag/entropy_onpolicy_token_mean,timing_s/reward,critic/rewards_onpolicy/max,perf/total_num_tokens,perf/time_per_step,response_length/min,diag/adv_onpolicy_token_mean,luffy/tasks_with_full_teacher,critic/rewards_last/min,timing_s/testing,critic/rewards_onpolicy/count,critic/rewards_onpolicy/mean,diag/teacher_token_ratio,critic/returns/mean,timing_per_token_ms/adv,timing_s/old_log_prob,actor/ppo_kl,val-aux/alfworld/reward/worst@94/std,val-aux/alfworld/reward/worst@32/std,timing_s/update_actor,diag/onpolicy_adv_pos_ratio,val-aux/alfworld/reward/worst@64/mean,_runtime,timing_s/ref,critic/advantages/max,perf/max_memory_reserved_gb,critic/rewards/mean,critic/rewards_last/max,critic/rewards_onpolicy/min,val-aux/alfworld/reward/std@94,val-aux/alfworld/reward/best@2/mean,luffy/onpolicy_replaced_by_teacher,val-aux/alfworld/reward/best@8/std,val-aux/alfworld/reward/mean@3,training/num_term_traj,critic/rewards_teacher/count,actor/kl_coef,timing_s/step,perf/max_memory_allocated_gb,timing_s/gen,val-aux/alfworld/reward/std@3,timing_per_token_ms/ref,val-aux/alfworld/reward/best@4/mean,critic/score/min,val-aux/alfworld/reward/worst@16/std,critic/rewards_sum/min,luffy/tasks_without_teacher,actor/lr,critic/rewards/min,val-aux/alfworld/reward/best@4/std,training/num_not_none_traj,val-aux/alfworld/reward/best@64/mean,critic/rewards_teacher/max,val-aux/alfworld/reward/mean@2,val-aux/alfworld/reward/worst@16/mean,val-aux/alfworld/reward/worst@3/mean,luffy/total_teacher_rollouts,diag/adv_teacher_sample_mean,val-aux/alfworld/reward/worst@4/mean,global_seqlen/balanced_min,val-aux/alfworld/reward/worst@64/std,critic/score/mean,val-aux/alfworld/reward/worst@32/mean,run_id,label,teacher_use_log_prob,teacher_sampling
1,1767929501.160301,,,0,4877.234375,0.01799057424068451,275,0.14936591684818268,1.0,0.6607142857142857,,0.7699341378191833,,54068,,-0.21385406330227852,305.2470903696105,10426,,,0.006900683511048555,1,,1,0.00306411599740386,,0.4128992259502411,,1.0,1.0,0,,0.30563072487711906,0.015625,83764,351.453125,1.0,-2.4748666286468506,,0.421875,2.5094375610351562,,2.4748666286468506,138242,0.12495400011539459,,0.3392857015132904,,,8.0,-0.03930147364735603,0.0,1.5434175729751587,0,56.0,0.09363780170679092,-2.4748666286468506,0.20513782005458153,0.29396567202061297,0.27703943848609924,0.09177666157484055,,83659.0,,,558,1,-0.05077376961708069,1,0.27703943848609924,0.049189792256420034,0.421875,,0.109375,218.6781997680664,,84174,0.12389721721410751,0.002721678465604782,1.0,334636,274.069770488888,540,-0.061851225793361664,8.0,0,,56.0,0.3392857015132904,0.006900683511048555,-0.05077376961708069,0.00027981986907203927,10.814730379730463,0,,,16.460675321519375,0.3392857015132904,,425.048094925,6.198365937918425,2.4748666286468506,73.001953125,0.421875,1,0.0,,,8.0,,,23,8.0,0.001,274.069770488888,55.54640340805054,240.32955158129334,,0.01852271105893695,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.2023937851190567,,83390,,0.421875,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
2,1767929646.4376876,,,0,4390.140625,0.002508756937459111,275,0.1361476071178913,1.0,0.8392857142857143,,0.47179802620998845,,70904,,-0.349849171936512,515.8509674552467,6337,,,0.012439094483852386,1,,1,0.008232982829213142,,0.4801475405693054,,1.0,1.0,0,,0.20365317538380623,0.015625,74961,293.375,1.0,-0.935412585735321,,0.265625,1.9711451530456543,,2.4748666286468506,77995,0.16957756876945496,,0.1607142835855484,,,8.0,-0.04970910772681236,0.0,1.7630982398986816,0,56.0,0.07823328301310539,-0.935412585735321,0.23694789330977045,0.15046696023529213,0.32291144132614136,-0.14619599655270576,,74936.25,,,296,2,-0.04253483563661575,1,0.32291144132614136,0.027749433724002768,0.265625,,0.875,219.97283554077148,,7091,0.16764619946479797,0.0011338964104652405,1.0,299745,145.26724718511105,681,-0.06527817994356155,8.0,0,,56.0,0.1607142835855484,0.012439094483852386,-0.04253483563661575,0.0002609994595843313,2.2305290922522545,0,,,8.31775401160121,0.1607142835855484,,731.122785647,1.932955827564001,2.4748666286468506,83.9140625,0.265625,1,0.0,,,8.0,,,11,8.0,0.001,145.26724718511105,55.54640340805054,132.56061962619424,,0.0064486674592203405,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.2951088845729828,,74927,,0.265625,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
3,1767929952.5124216,,,0,5491.1875,0.02413112483918667,275,0.16836900636553764,1.0,0.7678571428571428,,0.8230939520671079,,70025,,-0.2858216241002083,305.19851322378116,10139,,,0.012446078471839428,1,,1,0.006421474274247885,,0.42714378237724304,,1.0,1.0,0,,0.1725118812173605,0.015625,93421,346.859375,1.0,-1.20761239528656,,0.328125,1.8542338609695435,,2.4748666286468506,108325,0.1312652826309204,,0.2321428507566452,,,8.0,-0.037988077849149704,0.0,1.8505631685256958,0,56.0,0.09477301314473152,-1.20761239528656,0.23092507095821319,0.21354037041252497,0.3690771758556366,-0.11330974288284779,,93408.75,,,504,3,-0.026310916990041733,1,0.3690771758556366,0.029735894210731632,0.328125,,0.109375,220.50061416625977,,38300,0.12826815247535706,0.0018161162734031677,1.0,373635,306.05899423733354,574,-0.049965038895606995,8.0,0,,56.0,0.2321428507566452,0.012446078471839428,-0.026310916990041733,0.00025365132587881626,2.8378867097198963,0,,,11.110370833426714,0.2321428507566452,,1021.915683941,2.5653571039438248,2.4748666286468506,90.16796875,0.328125,1,0.0,,,8.0,,,15,8.0,0.001,306.05899423733354,59.5944390296936,289.26484613865614,,0.00686594431448827,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.2290792018175125,,93394,,0.328125,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
4,1767930243.3053904,,,0,6017.8125,0.019461600109934807,275,0.18046068772673607,1.0,0.8035714285714286,,0.705724456497208,,84570,,-0.190377127379179,350.93082234123193,10524,,,0.008173651061952114,1,,1,0.004475252702832222,,0.4026956856250763,,1.0,1.0,0,,0.10801305621862411,0.015625,102049,359.875,1.0,-0.935412585735321,,0.296875,1.8812907934188843,,2.4748666286468506,125721,0.1180192083120346,,0.1964285671710968,,,8.0,-0.03578701615333557,0.0,1.419340968132019,0,56.0,0.09557513147592545,-0.935412585735321,0.22647947817106032,0.1417366773784602,0.28460875153541565,-0.08236407116055489,,102043.0,,,467,4,-0.034126464277505875,1,0.28460875153541565,0.030577773892150398,0.296875,,0.21875,220.9854393005371,,41151,0.11664634943008423,0.001987095922231674,1.0,408172,290.77810640633106,1743,-0.04610450193285942,8.0,0,,56.0,0.1964285671710968,0.008173651061952114,-0.034126464277505875,0.00023415406121910727,3.2322325594723225,0,,,12.480991125106812,0.1964285671710968,,1243.27101079,2.9700520895421505,2.4748666286468506,92.568359375,0.296875,1,0.0,,,8.0,,,15,8.0,0.001,290.77810640633106,59.78001642227173,271.8027171753347,,0.007276471902879547,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.18923601508140564,,102038,,0.296875,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
5,1767930464.6605768,,,0,4942.609375,0.003940522205084562,275,0.14775176718831062,1.0,0.8214285714285714,,0.6550846980860464,,70068,,-0.02008819952607155,378.78317214418274,7015,,,0.009945404715836048,1,,1,0.006700688507407904,,0.4736996293067932,,1.0,1.0,0,,0.12448884546756744,0.015625,83841,297.421875,1.0,-2.4748666286468506,,0.28125,1.9462236166000366,,2.4748666286468506,93425,0.15810322761535645,,0.1785714328289032,,,8.0,-0.04865025356411934,0.0,2.1938507556915283,0,56.0,0.08149756863713264,-2.4748666286468506,0.24357648220440117,0.2743266338524503,0.333535760641098,0.1044006459414959,,83840.5,,,321,5,-0.03684462979435921,1,0.333535760641098,0.02745197849553546,0.28125,,0.109375,220.98268508911133,,23357,0.15634097158908844,0.0013044998049736023,1.0,335362,221.34167028963566,695,-0.059252653270959854,8.0,0,,56.0,0.1785714328289032,0.009945404715836048,-0.03684462979435921,0.0002430137243847921,2.443323891609907,0,,,9.206350412219763,0.1785714328289032,,1538.800826802,2.2270413115620613,2.4748666286468506,92.568359375,0.28125,1,0.0,,,8.0,,,13,8.0,0.001,221.34167028963566,59.78001642227173,207.2209772914648,,0.006640708582254583,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.25582751631736755,,83840,,0.28125,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
6,1767930760.1904685,,,0,5593.890625,0.00800858810544014,275,0.17956160008907318,1.0,0.5102040816326531,,0.7612387746562256,,66393,,-0.05314844474196434,324.5956249512786,12749,,,0.0044579883106052876,1,,1,0.0018532625399529934,,0.38224732875823975,,0.8571428656578064,1.0,0,,0.23976927436888218,0.015625,95940,401.296875,1.0,-2.4748666286468506,,0.484375,2.7963707447052,,2.4748666286468506,117856,0.103431835770607,,0.42105263471603394,,,7.0,-0.022280622273683548,0.0,1.0763674974441528,0,57.0,0.10297584533691406,-2.4748666286468506,0.18433165454145317,0.34873484674765437,0.24541473388671875,0.18662082962691784,,95923.0,,,707,6,-0.032539814710617065,1,0.24541473388671875,0.039578759746563046,0.484375,,0.125,221.65240478515625,,51463,0.1027960553765297,0.003000885248184204,1.0,383692,295.51538168266416,557,-0.03750544786453247,7.0,0,,57.0,0.42105263471603394,0.0044579883106052876,-0.032539814710617065,0.00026838152824899673,3.850120175629854,0,,,15.186053484678268,0.2982456088066101,,1924.776122919,3.6471191719174385,2.4748666286468506,98.5,0.484375,1,0.0,,,7.0,,,27,7.0,0.001,295.51538168266416,64.70026397705078,272.53033247590065,,0.009505330243834738,,0,,0,1.0,1e-06,0,,64,,1.0,,,,7.0,0.10553491860628128,,95914,,0.484375,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
7,1767931146.165787,,,0,6485.453125,0.004535498563200235,275,0.18374158069491386,1.0,0.7678571428571429,,0.8799984693658474,,72799,,-0.09205576777458191,285.92427836810725,10357,,,0.004905208479613066,1,,1,0.0029177749529480934,,0.3641585409641266,,1.0,1.0,0,,0.21749276481568813,0.015625,110360,411.71875,1.0,-1.6201815605163574,,0.328125,3.378964424133301,,2.4748666286468506,149102,0.09424624592065811,,0.2321428507566452,,,8.0,-0.02676488272845745,0.0,1.6111695766448975,0,56.0,0.11011988669633865,-1.6201815605163574,0.23613203389470952,0.20123977981401156,0.24224093556404114,0.12543699704110622,,110354.75,,,546,7,-0.038630612194538116,1,0.24224093556404114,0.031180093246286986,0.328125,,0.109375,221.73492813110352,,76303,0.09351672232151031,0.0019132420420646667,1.0,441419,385.9579558260739,790,-0.04676311835646629,8.0,0,,56.0,0.2321428507566452,0.004905208479613066,-0.038630612194538116,0.0002494679356718643,3.4246390648186207,0,,,13.763485580682755,0.2321428507566452,,2239.511513096,3.199330147355795,2.4748666286468506,98.5,0.328125,1,0.0,,,8.0,,,15,8.0,0.001,385.9579558260739,64.70026397705078,365.2600846812129,,0.007247830626583348,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.137359619140625,,110352,,0.328125,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
8,1767931460.9011574,,,0,6183.25,0.0065134381875395775,275,0.19238996878266335,1.0,0.7142857142857143,,0.7467648883109615,,88784,,0.0,333.67745673999093,11545,,,0.00721202464774251,1,,1,0.003687567077577114,,0.39803946018218994,,1.0,1.0,0,,0.01787177287042141,0.015625,105021,380.21875,1.0,-1.6201815605163574,,0.375,2.409961462020874,,2.4748666286468506,122386,0.1088784858584404,,0.2857142984867096,,,8.0,-0.02507743425667286,0.0,1.7209444046020508,0,56.0,0.1006515622138977,-1.6201815605163574,0.23661064355994998,0.28571428571428575,0.2333497256040573,0.01787177287042141,,105015.5,,,548,8,-0.029370542615652084,1,0.2333497256040573,0.030011550264528886,0.375,,0.109375,222.24715423583984,,33602,0.10797426104545593,0.001544307917356491,1.0,420062,314.7215908020735,1079,-0.04208555445075035,8.0,0,,56.0,0.2857142984867096,0.00721202464774251,-0.029370542615652084,0.00023961120552179845,3.2493287287652493,0,,,12.606711827218533,0.2857142984867096,,2553.795377646,3.0382147654891014,2.4748666286468506,98.5,0.375,1,0.0,,,8.0,,,18,8.0,0.001,314.7215908020735,64.70026397705078,295.5157757215202,,0.007232776984085924,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.14904403686523438,,105009,,0.375,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
9,1767931775.185056,,,0,4653.578125,0.051001641899347305,275,0.16473844274878502,1.0,0.5535714285714286,,1.0020766052882915,,27947,,-0.20923176407814026,254.2657883205229,9791,,,0.010391869582235813,1,,1,0.004713389556854963,,0.4159308075904846,,0.75,1.0,0,,0.14794278517365456,0.015625,79924,340.625,1.0,-1.20761239528656,,0.515625,1.9944822788238525,,2.4748666286468506,107440,0.12302378565073013,,0.4464285671710968,,,8.0,-0.02567058801651001,0.0,1.369859218597412,0,56.0,0.09679067134857178,-1.20761239528656,0.21210414046055506,0.36726721073577023,0.26895129680633545,-0.0612889789044857,,79907.25,,,469,9,-0.03021428920328617,1,0.26895129680633545,0.03218110805848187,0.515625,,0.109375,222.49235153198242,,79493,0.12149141728878021,0.0019502192735671997,1.0,319629,314.2666204832494,529,-0.04491645470261574,8.0,0,,56.0,0.4464285671710968,0.010391869582235813,-0.03021428920328617,0.0003028219321418638,2.7705120518803596,0,,,10.286015387624502,0.1964285671710968,,2827.010893146,2.484832961112261,2.4748666286468506,98.5,0.515625,1,0.0,,,8.0,,,27,8.0,0.001,314.2666204832494,64.70026397705078,298.4474732764065,,0.0077741161193516884,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.15543343126773834,,79888,,0.515625,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
10,1767932048.4005702,,,0,4714.3125,0.015154440887272358,275,0.18967226520180702,1.0,0.48214285714285715,,0.8482948486467883,,38934,,-0.020088201388716698,298.0848418891074,14829,,,0.007072876673191786,1,,1,0.002147607272490859,,0.39938977360725403,,0.875,1.0,0,,-0.021146023645997047,0.015625,81443,375.515625,1.0,-2.4748666286468506,,0.578125,3.1690127849578857,,2.4748666286468506,148050,0.11280558258295059,,0.5178571343421936,,,8.0,-0.023579953238368034,0.0,1.1210678815841675,0,56.0,0.10163953900337219,-2.4748666286468506,0.20517259544567015,0.3345534641999142,0.3212556540966034,-0.041234225034713745,,81437.25,,,697,10,-0.04011821374297142,1,0.3212556540966034,0.03434031362541971,0.578125,,0.109375,222.95965576171875,,109116,0.11132073402404785,0.0027299262583255768,1.0,325749,273.2015807442367,584,-0.04838964715600014,8.0,0,,56.0,0.5178571343421936,0.007072876673191786,-0.04011821374297142,0.00031201796169250617,3.0535101369023323,0,,,11.186322823166847,0.3928571343421936,,3081.630633935,2.699936930090189,2.4748666286468506,98.5,0.578125,1,0.0,,,8.0,,,34,8.0,0.001,273.2015807442367,64.70026397705078,255.94412855431437,,0.008288396679928992,,0,,0,0.0,1e-06,0,,64,,1.0,,,,8.0,0.11025997996330261,,81431,,0.578125,,uk74oszd,LUFFY / no_logprob / sampling=confidence,False,confidence
