_step,task_id,teacher_reward,on_mean_reward,on_n,gap
1,1969,1.0,0.42857142857142855,7,0.5714285714285714
1,1975,1.0,0.42857142857142855,7,0.5714285714285714
1,2239,1.0,0.0,7,1.0
1,2322,1.0,0.14285714285714285,7,0.8571428571428572
1,246,1.0,0.5714285714285714,7,0.4285714285714286
1,399,1.0,0.5714285714285714,7,0.4285714285714286
1,589,1.0,0.7142857142857143,7,0.2857142857142857
1,742,1.0,0.7142857142857143,7,0.2857142857142857
2,1215,1.0,0.0,7,1.0
2,1225,1.0,0.0,7,1.0
2,2187,1.0,0.2857142857142857,7,0.7142857142857143
2,2309,1.0,0.0,7,1.0
2,25,1.0,0.42857142857142855,7,0.5714285714285714
2,827,1.0,0.42857142857142855,7,0.5714285714285714
2,97,1.0,0.2857142857142857,7,0.7142857142857143
2,996,1.0,0.0,7,1.0
3,1189,1.0,0.14285714285714285,7,0.8571428571428572
3,1381,1.0,0.2857142857142857,7,0.7142857142857143
3,1551,1.0,0.0,7,1.0
3,160,1.0,0.42857142857142855,7,0.5714285714285714
3,1898,1.0,0.5714285714285714,7,0.4285714285714286
3,2112,1.0,0.0,7,1.0
3,2136,1.0,0.0,7,1.0
3,480,1.0,1.0,7,0.0
4,1011,1.0,0.14285714285714285,7,0.8571428571428572
4,1496,1.0,0.14285714285714285,7,0.8571428571428572
4,1920,1.0,0.14285714285714285,7,0.8571428571428572
4,2049,1.0,0.42857142857142855,7,0.5714285714285714
4,2266,1.0,0.5714285714285714,7,0.4285714285714286
4,2358,1.0,0.2857142857142857,7,0.7142857142857143
4,486,1.0,0.42857142857142855,7,0.5714285714285714
4,985,1.0,0.42857142857142855,7,0.5714285714285714
5,147,1.0,0.0,7,1.0
5,1484,1.0,0.0,7,1.0
5,2364,1.0,0.14285714285714285,7,0.8571428571428572
5,2389,1.0,0.14285714285714285,7,0.8571428571428572
5,35,1.0,0.5714285714285714,7,0.4285714285714286
5,376,1.0,0.14285714285714285,7,0.8571428571428572
5,789,1.0,0.5714285714285714,7,0.4285714285714286
5,92,1.0,0.42857142857142855,7,0.5714285714285714
6,1363,1.0,0.2857142857142857,7,0.7142857142857143
6,1473,1.0,0.2857142857142857,7,0.7142857142857143
6,2342,,0.125,8,
6,2357,1.0,0.42857142857142855,7,0.5714285714285714
6,299,1.0,0.7142857142857143,7,0.2857142857142857
6,321,1.0,0.8571428571428571,7,0.1428571428571429
6,383,1.0,0.7142857142857143,7,0.2857142857142857
6,946,1.0,0.0,7,1.0
7,1141,1.0,0.5714285714285714,7,0.4285714285714286
7,1221,1.0,0.7142857142857143,7,0.2857142857142857
7,1276,1.0,0.0,7,1.0
7,1647,1.0,0.14285714285714285,7,0.8571428571428572
7,1688,1.0,0.0,7,1.0
7,438,1.0,0.42857142857142855,7,0.5714285714285714
7,817,1.0,1.0,7,0.0
7,991,1.0,0.2857142857142857,7,0.7142857142857143
8,1362,1.0,0.14285714285714285,7,0.8571428571428572
8,1406,1.0,0.14285714285714285,7,0.8571428571428572
8,1445,1.0,0.0,7,1.0
8,2198,1.0,0.14285714285714285,7,0.8571428571428572
8,2287,1.0,0.0,7,1.0
8,446,1.0,0.42857142857142855,7,0.5714285714285714
8,520,1.0,0.14285714285714285,7,0.8571428571428572
8,892,1.0,0.2857142857142857,7,0.7142857142857143
9,1158,1.0,0.2857142857142857,7,0.7142857142857143
9,1375,1.0,0.42857142857142855,7,0.5714285714285714
9,1412,1.0,0.0,7,1.0
9,1505,1.0,0.2857142857142857,7,0.7142857142857143
9,2126,1.0,0.14285714285714285,7,0.8571428571428572
9,2417,1.0,0.0,7,1.0
9,39,1.0,0.8571428571428571,7,0.1428571428571429
9,807,1.0,1.0,7,0.0
10,1132,1.0,0.0,7,1.0
10,171,1.0,0.7142857142857143,7,0.2857142857142857
10,1751,1.0,0.14285714285714285,7,0.8571428571428572
10,2080,1.0,0.2857142857142857,7,0.7142857142857143
10,398,1.0,0.7142857142857143,7,0.2857142857142857
10,405,1.0,1.0,7,0.0
10,775,1.0,1.0,7,0.0
10,917,1.0,0.0,7,1.0
11,114,1.0,0.7142857142857143,7,0.2857142857142857
11,1193,1.0,0.14285714285714285,7,0.8571428571428572
11,1331,1.0,0.0,7,1.0
11,1493,1.0,0.0,7,1.0
11,2087,1.0,0.14285714285714285,7,0.8571428571428572
11,2125,1.0,0.14285714285714285,7,0.8571428571428572
11,2335,1.0,0.2857142857142857,7,0.7142857142857143
11,5,1.0,0.42857142857142855,7,0.5714285714285714
12,1236,1.0,0.0,7,1.0
12,1909,1.0,0.14285714285714285,7,0.8571428571428572
12,2185,1.0,0.0,7,1.0
12,328,1.0,0.7142857142857143,7,0.2857142857142857
12,437,1.0,0.2857142857142857,7,0.7142857142857143
12,663,1.0,0.7142857142857143,7,0.2857142857142857
12,894,1.0,0.0,7,1.0
12,925,1.0,0.14285714285714285,7,0.8571428571428572
13,1218,1.0,0.5714285714285714,7,0.4285714285714286
13,1386,1.0,0.2857142857142857,7,0.7142857142857143
13,1854,1.0,0.5714285714285714,7,0.4285714285714286
13,1868,1.0,0.14285714285714285,7,0.8571428571428572
13,2375,1.0,0.5714285714285714,7,0.4285714285714286
13,404,1.0,0.5714285714285714,7,0.4285714285714286
13,677,1.0,0.8571428571428571,7,0.1428571428571429
13,831,1.0,0.8571428571428571,7,0.1428571428571429
14,1251,1.0,0.5714285714285714,7,0.4285714285714286
14,1613,1.0,0.14285714285714285,7,0.8571428571428572
14,1884,1.0,0.0,7,1.0
14,2098,1.0,0.0,7,1.0
14,2171,1.0,0.0,7,1.0
14,643,1.0,1.0,7,0.0
14,707,1.0,1.0,7,0.0
14,888,1.0,0.0,7,1.0
15,1007,1.0,0.2857142857142857,7,0.7142857142857143
15,1509,1.0,0.14285714285714285,7,0.8571428571428572
15,1586,1.0,0.14285714285714285,7,0.8571428571428572
15,1678,1.0,0.2857142857142857,7,0.7142857142857143
15,1901,1.0,0.14285714285714285,7,0.8571428571428572
15,244,1.0,0.8571428571428571,7,0.1428571428571429
15,392,1.0,0.8571428571428571,7,0.1428571428571429
15,563,1.0,0.14285714285714285,7,0.8571428571428572
16,1112,1.0,0.14285714285714285,7,0.8571428571428572
16,1368,1.0,0.2857142857142857,7,0.7142857142857143
16,1699,1.0,0.2857142857142857,7,0.7142857142857143
16,242,1.0,1.0,7,0.0
16,506,1.0,1.0,7,0.0
16,90,1.0,0.7142857142857143,7,0.2857142857142857
